"","treated1","treated2","treated3","untreated1","untreated2","untreated3","untreated4"
"FBgn0034783",0,0,0,0,0,0,1
"FBgn0020251",591,221,238,439,662,218,230
"FBgn0052548",3,0,1,0,1,0,1
"FBgn0261059",11,3,4,7,10,2,1
"FBgn0053252",0,0,0,2,1,0,0
"FBgn0052248",0,0,0,0,0,0,0
"FBgn0031791",1,1,0,0,1,0,1
"FBgn0036078",0,0,0,0,0,0,0
"FBgn0012025",0,0,0,0,0,0,0
"FBgn0053339",0,0,0,0,0,0,0
"FBgn0004650",159,68,91,168,341,102,120
"FBgn0035099",1535,625,594,967,1288,520,591
"FBgn0050202",0,0,0,0,0,0,0
"FBgn0260763",12,3,6,3,4,3,5
"FBgn0027865",1130,359,309,372,747,203,197
"FBgn0052564",0,0,0,0,0,1,0
"FBgn0039031",0,0,0,0,0,0,0
"FBgn0053503",48,33,50,43,52,58,67
"FBgn0034820",0,0,0,0,0,0,0
"FBgn0260635",14241,6862,7850,10252,14940,5879,6642
"FBgn0003042",321,121,176,242,335,154,132
"FBgn0052614",0,0,0,0,0,0,0
"FBgn0011745",2667,1254,1443,1684,2688,1028,1326
"FBgn0030624",0,0,0,0,0,0,0
"FBgn0035976",549,264,248,364,530,180,249
"FBgn0038428",937,405,391,482,830,248,358
"FBgn0037443",2198,1133,1148,1090,2777,1160,1210
"FBgn0033698",2056,931,1019,1412,1845,801,817
"FBgn0034405",4926,2135,2387,2105,3203,1153,1458
"FBgn0003087",276,59,49,147,179,36,33
"FBgn0035401",1390,710,857,1236,1487,638,840
"FBgn0035376",5786,3493,3493,4401,9306,4457,3509
"FBgn0036782",5,3,0,2,4,2,2
"FBgn0029929",473,274,307,373,610,240,288
"FBgn0040344",699,347,329,571,756,320,322
"FBgn0030968",141,100,112,129,146,49,88
"FBgn0016641",987,491,529,796,1294,466,430
"FBgn0052264",1200,727,876,933,1767,866,747
"FBgn0034997",8406,4580,4768,5574,7746,3206,3606
"FBgn0086072",2,0,0,1,0,0,0
"FBgn0028938",2,1,0,1,1,0,0
"FBgn0028909",0,0,0,0,0,0,0
"FBgn0035100",15,8,7,14,19,15,9
"FBgn0039471",0,0,0,0,0,0,0
"FBgn0038820",1,0,0,0,0,0,0
"FBgn0020887",1521,737,817,1507,2082,783,806
"FBgn0065102",0,0,0,0,0,0,0
"FBgn0050468",0,0,0,0,1,0,1
"FBgn0047330",1,0,0,0,2,0,0
"FBgn0052835",0,0,0,0,0,0,0
"FBgn0030437",0,0,0,1,0,0,0
"FBgn0032643",9478,5173,5806,6105,9589,3928,4804
"FBgn0052451",1962,941,951,1439,2374,829,927
"FBgn0044328",0,0,0,0,0,0,0
"FBgn0032789",8,1,2,5,5,1,1
"FBgn0085471",1,0,0,1,3,0,1
"FBgn0086034",0,0,0,0,0,0,0
"FBgn0051253",0,0,0,0,0,0,0
"FBgn0083978",6,3,2,6,10,5,1
"FBgn0013301",0,0,0,0,0,0,0
"FBgn0046247",783,330,364,530,912,308,371
"FBgn0031505",1370,550,551,722,1057,340,557
"FBgn0024987",1774,984,1055,1570,2257,826,812
"FBgn0032180",0,2,1,0,3,0,1
"FBgn0004575",0,0,1,0,4,0,0
"FBgn0083012",6,0,0,3,0,0,0
"FBgn0032685",33,11,10,7,26,9,14
"FBgn0037853",2218,1057,1342,1165,2341,890,1046
"FBgn0052703",10,7,5,10,13,5,6
"FBgn0033440",0,0,1,0,0,0,0
"FBgn0032033",167,78,76,104,229,70,72
"FBgn0050265",0,0,0,0,0,0,0
"FBgn0010385",3,2,1,0,1,2,1
"FBgn0039022",137,45,60,98,179,61,59
"FBgn0036818",104,37,36,49,110,31,38
"FBgn0036124",1160,475,523,887,1445,494,550
"FBgn0024308",30452,17470,18410,22741,50285,21535,19031
"FBgn0033832",0,0,0,0,0,0,0
"FBgn0050366",0,0,0,0,0,0,0
"FBgn0028534",4,1,2,4,8,5,1
"FBgn0038960",0,0,0,0,1,0,1
"FBgn0039396",1,0,0,0,0,1,2
"FBgn0010383",31,20,14,25,52,27,28
"FBgn0011219",14983,4497,5239,9792,16821,4562,5073
"FBgn0034850",6,8,3,3,7,5,10
"FBgn0036770",2321,1125,1166,2456,3022,1208,1407
"FBgn0028943",10,2,5,2,6,2,0
"FBgn0011282",1,0,0,0,0,0,0
"FBgn0026199",3176,659,707,2130,2873,780,761
"FBgn0037664",4,6,1,2,2,1,4
"FBgn0033076",0,0,1,0,0,0,0
"FBgn0259966",0,0,0,0,1,0,0
"FBgn0031640",669,256,350,420,778,297,292
"FBgn0046258",29,13,14,3,5,3,5
"FBgn0028645",8,3,2,3,8,0,5
"FBgn0038453",1631,639,699,1026,1181,419,534
"FBgn0052112",211,74,89,141,257,88,101
"FBgn0011962",0,0,0,0,0,0,0
"FBgn0031213",1621,492,528,970,1224,522,551
"FBgn0086130",425,236,269,314,521,167,220
"FBgn0040350",0,1,2,0,1,0,0
"FBgn0037878",1732,839,845,1207,2041,615,816
"FBgn0027103",530,223,226,339,447,177,195
"FBgn0037036",6,1,0,2,6,2,2
"FBgn0037150",436,121,175,268,451,123,157
"FBgn0034155",1477,580,669,1042,1818,677,631
"FBgn0050503",0,0,0,0,0,0,0
"FBgn0035232",2116,1076,1175,2391,3265,1327,1497
"FBgn0039521",0,0,0,0,0,0,0
"FBgn0003138",3180,1775,2079,2350,4015,1617,1732
"FBgn0039784",2,1,1,0,2,0,0
"FBgn0032818",598,308,319,349,560,216,279
"FBgn0085201",1,0,0,0,0,0,0
"FBgn0037288",1,2,0,0,1,2,4
"FBgn0037323",0,1,0,1,0,0,0
"FBgn0038916",14,2,9,12,8,2,6
"FBgn0026876",455,223,208,282,441,148,195
"FBgn0034800",92,44,57,63,145,44,60
"FBgn0045852",2188,1277,1276,2222,4675,1735,1823
"FBgn0011952",0,0,0,0,0,0,0
"FBgn0039284",0,0,0,0,0,0,0
"FBgn0011481",1721,820,759,990,2492,890,730
"FBgn0037397",0,0,0,0,0,0,0
"FBgn0012344",7,4,2,5,7,5,5
"FBgn0033203",4,1,5,3,3,3,2
"FBgn0030815",3,1,2,1,2,0,3
"FBgn0052556",76,31,35,19,68,23,30
"FBgn0005596",1510,811,891,1040,1880,800,758
"FBgn0085473",0,0,0,0,0,0,0
"FBgn0031351",195,66,59,102,136,37,62
"FBgn0259999",0,0,0,0,0,0,0
"FBgn0038392",4,7,11,5,10,4,4
"FBgn0028544",2,3,4,7,6,4,3
"FBgn0011931",0,0,0,0,2,0,0
"FBgn0010409",33151,20995,22969,31030,43123,15231,24434
"FBgn0028399",4060,2088,2452,3824,4507,2168,2794
"FBgn0031186",2550,1028,1152,1777,3044,992,1137
"FBgn0024995",13,2,3,7,4,1,1
"FBgn0003891",20102,7972,8161,15454,29134,10299,9803
"FBgn0032018",2657,1133,1212,2490,3170,1266,1252
"FBgn0051106",2,1,0,1,1,0,0
"FBgn0051118",41,29,36,51,87,22,46
"FBgn0032074",12,6,2,7,11,1,3
"FBgn0016701",1120,498,526,781,1360,423,560
"FBgn0037326",2,1,0,0,3,0,0
"FBgn0033238",0,0,3,3,2,0,1
"FBgn0039413",4,4,1,3,3,1,2
"FBgn0028953",2668,1172,1434,1782,3807,1209,1301
"FBgn0035866",443,172,194,313,479,148,203
"FBgn0001125",3132,1864,2024,3064,3921,1665,1997
"FBgn0031174",2712,1531,1675,2019,3286,1447,1623
"FBgn0035131",56,21,28,25,42,23,29
"FBgn0039371",23,7,4,39,31,0,3
"FBgn0053217",252,37,40,160,71,25,36
"FBgn0052672",4529,1371,1644,2746,6011,1333,1697
"FBgn0085363",985,526,579,783,1175,437,472
"FBgn0032247",176,57,69,136,208,37,46
"FBgn0017572",2448,1091,1152,1887,2895,990,1128
"FBgn0051669",0,0,0,0,0,0,0
"FBgn0029128",7,5,4,7,22,5,4
"FBgn0037501",0,0,0,0,0,0,0
"FBgn0031675",58,53,51,38,82,29,33
"FBgn0032053",478,229,239,314,575,127,195
"FBgn0038247",6,1,5,5,9,2,3
"FBgn0011868",0,0,0,0,0,0,0
"FBgn0000084",2010,1366,1472,1849,2627,1283,1515
"FBgn0014848",0,0,0,0,0,0,0
"FBgn0040674",0,0,0,0,0,0,0
"FBgn0002622",54921,36281,41385,45990,71385,29207,41148
"FBgn0050398",18,1,9,4,8,5,7
"FBgn0034408",290,180,239,184,266,114,107
"FBgn0051235",0,1,0,1,1,1,2
"FBgn0037330",634,326,360,468,623,214,263
"FBgn0047303",0,0,1,1,2,1,0
"FBgn0053287",5,3,1,2,2,2,1
"FBgn0001254",1,2,0,0,2,0,1
"FBgn0039481",1,0,2,2,1,0,3
"FBgn0037594",2,0,1,0,1,0,0
"FBgn0039598",2,0,0,0,0,0,0
"FBgn0052711",195,46,61,84,166,44,57
"FBgn0082926",0,0,1,0,0,0,0
"FBgn0261285",648,277,263,589,854,357,302
"FBgn0013988",2895,1927,2171,3160,4177,2081,2347
"FBgn0085235",6,1,0,3,6,1,1
"FBgn0036622",98,41,71,89,113,53,54
"FBgn0038690",35,12,22,39,34,18,21
"FBgn0031092",778,424,412,597,914,347,402
"FBgn0039905",57,33,57,60,45,31,35
"FBgn0033760",16,6,8,1,1,3,3
"FBgn0011909",1,0,0,0,0,0,0
"FBgn0040798",0,0,0,0,0,0,0
"FBgn0032506",0,1,0,0,2,0,0
"FBgn0034624",1,0,1,0,1,0,0
"FBgn0037661",299,127,122,231,246,83,144
"FBgn0037446",1241,647,753,872,1672,601,735
"FBgn0010278",6353,3257,3728,3867,7102,2569,3073
"FBgn0031975",36,12,21,20,42,23,25
"FBgn0040554",44,10,21,20,40,10,17
"FBgn0010398",207,90,113,176,206,67,94
"FBgn0033355",2,1,2,2,0,0,0
"FBgn0032156",2061,901,966,1933,3057,1010,1137
"FBgn0259794",1,0,0,3,1,1,1
"FBgn0034437",2,0,2,2,1,1,1
"FBgn0002531",10,4,3,5,6,11,5
"FBgn0053822",0,0,0,0,0,0,0
"FBgn0051296",40,12,18,18,35,13,5
"FBgn0036104",1032,494,557,694,1146,401,458
"FBgn0027619",3610,1257,1494,2072,4397,1022,1313
"FBgn0014877",695,272,348,453,724,245,275
"FBgn0031145",3285,1183,1369,2112,4420,969,1306
"FBgn0037569",391,279,282,371,457,163,228
"FBgn0040992",0,0,0,0,0,0,0
"FBgn0037115",0,0,0,0,0,1,0
"FBgn0050156",227,128,131,210,251,96,133
"FBgn0034645",982,695,767,834,1243,485,645
"FBgn0036248",506,197,226,370,541,192,194
"FBgn0033422",38,27,22,28,63,31,26
"FBgn0034839",2,0,0,0,0,0,0
"FBgn0035906",1415,588,661,998,1862,520,686
"FBgn0015376",508,217,213,489,707,218,262
"FBgn0086446",668,344,384,467,654,211,331
"FBgn0032218",760,223,219,547,961,259,244
"FBgn0030525",13,3,5,6,6,4,2
"FBgn0000032",1698,696,757,1446,1713,615,672
"FBgn0037107",15,5,3,7,9,0,2
"FBgn0039207",3383,1524,1612,2684,3567,1288,1464
"FBgn0051201",14,2,0,11,3,1,0
"FBgn0035619",4,0,2,1,5,0,3
"FBgn0031547",275,89,105,565,483,186,296
"FBgn0260963",20,12,12,6,8,4,6
"FBgn0037296",14,4,6,2,12,5,2
"FBgn0037847",343,190,173,315,521,186,201
"FBgn0051029",73,41,34,32,76,32,28
"FBgn0039153",325,110,118,182,338,70,117
"FBgn0035902",104,50,41,66,89,31,46
"FBgn0053766",0,0,0,0,0,0,0
"FBgn0036889",231,95,100,140,230,60,92
"FBgn0038007",0,0,0,0,0,0,0
"FBgn0000547",648,302,374,225,528,248,208
"FBgn0053270",0,0,0,0,1,0,0
"FBgn0260780",31,16,25,22,43,11,13
"FBgn0035139",3,1,1,0,5,1,1
"FBgn0032833",4917,3134,3270,4123,4544,2473,2995
"FBgn0041225",72,39,34,42,55,12,24
"FBgn0053317",22,13,13,6,16,18,7
"FBgn0003936",0,0,0,0,0,0,0
"FBgn0001974",505,253,304,364,620,248,251
"FBgn0260759",0,0,0,0,0,0,0
"FBgn0022720",2900,1465,1635,2023,3449,1211,1472
"FBgn0015586",1,0,0,0,3,0,0
"FBgn0037040",8,0,3,3,7,3,1
"FBgn0000472",4639,1704,1998,2067,6534,1974,1850
"FBgn0030350",1502,650,692,806,1591,468,661
"FBgn0002719",11262,6360,7156,6433,13682,5910,6703
"FBgn0053688",0,0,0,0,0,0,0
"FBgn0035263",50,27,16,20,73,28,31
"FBgn0051560",1,0,0,0,0,0,0
"FBgn0025815",3012,1943,1944,2428,3070,1358,1608
"FBgn0035989",566,228,245,363,701,221,244
"FBgn0054049",0,0,0,0,0,0,0
"FBgn0015331",1349,651,752,986,1602,545,631
"FBgn0050274",0,0,0,0,0,0,0
"FBgn0065071",3,4,3,4,6,1,5
"FBgn0033589",0,0,0,0,0,0,0
"FBgn0029717",0,0,0,0,0,0,0
"FBgn0010441",1057,576,664,972,1532,570,619
"FBgn0015789",3076,1263,1392,2166,3212,1041,1199
"FBgn0036789",0,0,0,0,0,0,0
"FBgn0028670",5888,3416,3777,4382,5423,2276,2841
"FBgn0035501",17,10,6,11,24,9,13
"FBgn0042711",1,0,2,3,3,1,3
"FBgn0034854",3774,1735,1947,2443,4404,1647,1708
"FBgn0053936",13541,4186,4717,6539,17922,4286,4546
"FBgn0033738",2271,1182,1228,1436,2231,847,861
"FBgn0033668",44,3,0,9,18,0,1
"FBgn0035384",0,0,0,0,0,0,0
"FBgn0051646",0,0,0,0,0,0,0
"FBgn0029971",1305,605,747,1025,1610,476,717
"FBgn0037310",3,0,1,2,4,2,1
"FBgn0259216",57,7,7,33,26,6,7
"FBgn0037671",5962,3151,3696,4258,5919,2433,3039
"FBgn0001174",1,0,0,0,1,0,2
"FBgn0035563",0,0,0,0,1,0,0
"FBgn0038452",4,1,2,0,1,0,1
"FBgn0032321",874,380,453,637,1237,332,445
"FBgn0052377",1,0,0,0,3,0,1
"FBgn0038912",738,364,363,849,1069,429,471
"FBgn0027601",656,294,332,587,784,374,357
"FBgn0032763",192,72,96,118,186,58,78
"FBgn0030854",1466,564,580,862,1306,342,459
"FBgn0000541",9965,3240,3052,5941,11241,3252,2889
"FBgn0067707",0,0,0,0,0,0,0
"FBgn0027074",1,0,0,2,1,0,1
"FBgn0011955",0,0,0,0,0,0,0
"FBgn0034707",666,311,411,444,658,262,319
"FBgn0027580",1193,739,835,1878,2372,1214,1222
"FBgn0086369",1,0,0,0,0,0,0
"FBgn0085353",18,24,33,57,30,20,7
"FBgn0036300",629,274,314,509,573,161,279
"FBgn0001105",6707,3340,3644,4159,7751,2722,3062
"FBgn0036013",0,1,0,0,1,0,0
"FBgn0035346",1492,704,727,844,1273,521,522
"FBgn0031905",1,1,0,0,1,0,0
"FBgn0034330",0,0,0,0,0,0,0
"FBgn0033556",369,127,144,237,375,149,165
"FBgn0028497",2125,1150,1252,1621,2766,1020,1192
"FBgn0031886",842,301,305,460,761,243,287
"FBgn0000258",2793,640,639,1585,2208,545,585
"FBgn0037621",924,530,634,985,1095,482,559
"FBgn0030077",370,269,350,372,640,325,377
"FBgn0261529",8,2,5,2,2,0,5
"FBgn0000640",1,0,2,0,8,0,0
"FBgn0004573",4,5,3,2,8,1,0
"FBgn0005619",18,10,17,15,31,13,18
"FBgn0083013",7,0,2,8,12,0,1
"FBgn0261439",3561,2266,2476,2981,3901,1766,2014
"FBgn0004579",1,0,2,1,4,0,0
"FBgn0037498",0,0,0,0,0,0,0
"FBgn0025525",125,68,53,39,104,35,29
"FBgn0031628",146,76,71,103,146,62,62
"FBgn0033889",9667,4372,4657,6873,11383,4027,4207
"FBgn0038358",1,0,0,2,1,0,0
"FBgn0050449",1,0,0,0,0,0,0
"FBgn0034104",0,0,0,0,0,0,0
"FBgn0010256",5923,2341,2455,3834,7419,2255,2503
"FBgn0039756",2715,1596,1920,1631,2432,1002,1272
"FBgn0016794",3772,2167,2327,2845,4310,1846,2026
"FBgn0033816",771,353,401,619,962,293,331
"FBgn0032431",8,4,2,9,9,4,3
"FBgn0037999",1437,789,892,921,1304,590,734
"FBgn0036306",571,172,209,491,510,117,226
"FBgn0005613",11,9,2,7,20,3,7
"FBgn0053815",0,0,0,0,0,0,0
"FBgn0038291",381,187,202,282,584,204,218
"FBgn0259979",2157,717,724,1404,2270,771,857
"FBgn0085223",56,34,34,90,86,23,34
"FBgn0038984",2586,1127,1269,1759,2298,982,1157
"FBgn0036035",657,268,302,477,850,224,298
"FBgn0003511",448,271,335,350,674,228,276
"FBgn0053658",0,0,0,1,0,0,0
"FBgn0052350",623,95,111,367,431,111,126
"FBgn0050499",1177,686,699,774,993,413,575
"FBgn0035000",0,0,1,0,0,0,0
"FBgn0037808",13405,6237,5881,10806,15307,6153,5862
"FBgn0029688",5247,2712,2827,3903,6575,2635,2705
"FBgn0017448",5,6,4,2,10,3,2
"FBgn0050048",1,0,0,0,1,0,0
"FBgn0033911",1,1,0,0,1,1,0
"FBgn0052628",122,55,65,64,129,52,52
"FBgn0051496",0,0,0,0,0,0,0
"FBgn0083971",11,1,4,4,10,3,6
"FBgn0001089",76,40,56,41,93,33,44
"FBgn0030277",2,0,0,0,2,0,0
"FBgn0259226",21,11,18,32,44,16,30
"FBgn0036813",741,354,452,540,933,371,429
"FBgn0052191",0,0,1,0,0,0,1
"FBgn0261086",17,13,10,20,23,12,13
"FBgn0003741",237,108,128,131,264,74,110
"FBgn0261570",5077,3069,3022,3296,4910,2156,2060
"FBgn0033229",3,1,0,1,0,0,0
"FBgn0039115",226,125,114,233,262,90,96
"FBgn0024251",10,2,1,6,3,2,1
"FBgn0034045",1,0,1,1,2,0,0
"FBgn0259713",0,0,0,0,0,0,0
"FBgn0085430",2634,1832,1766,2379,3351,1678,1592
"FBgn0053967",4383,2073,2258,3359,7687,2742,2563
"FBgn0039851",7,1,7,1,2,3,2
"FBgn0035328",5,1,6,1,0,4,1
"FBgn0033139",1,0,0,0,0,0,1
"FBgn0015567",3751,1477,1434,2150,3874,1209,1296
"FBgn0032976",5302,2486,2521,3586,6516,2289,2390
"FBgn0021738",3,5,7,2,4,7,2
"FBgn0011937",0,0,0,0,0,0,0
"FBgn0040487",0,0,0,0,0,0,0
"FBgn0052984",214,80,70,127,233,88,89
"FBgn0041604",718,293,301,326,509,167,182
"FBgn0035701",0,0,0,0,0,0,0
"FBgn0030876",150,80,93,97,229,60,91
"FBgn0061200",5765,2927,3027,4692,8143,2907,2863
"FBgn0016081",6596,3770,3795,6126,8284,3869,3745
"FBgn0031778",1,1,1,1,2,4,1
"FBgn0261508",5,4,0,5,4,2,4
"FBgn0024913",17,3,2,12,11,2,3
"FBgn0004507",3469,2038,2251,1123,2674,909,1075
"FBgn0011224",1912,775,836,1346,2290,814,806
"FBgn0032858",427,201,231,290,486,168,201
"FBgn0031634",18,9,3,5,7,3,5
"FBgn0053356",0,0,0,0,0,0,0
"FBgn0035193",4,2,0,0,1,1,0
"FBgn0033564",0,0,0,0,0,0,0
"FBgn0034791",765,340,353,464,988,258,297
"FBgn0053438",0,0,0,0,0,0,0
"FBgn0053129",5197,2106,2087,3348,4800,1751,2000
"FBgn0085437",1634,984,960,1398,1817,889,862
"FBgn0051148",1,0,0,0,2,0,1
"FBgn0035006",0,0,0,0,0,0,0
"FBgn0260487",1,0,1,1,0,0,1
"FBgn0053238",0,0,0,0,0,0,0
"FBgn0030893",2800,1668,1864,2133,3056,1169,1358
"FBgn0030932",9,13,11,7,12,6,10
"FBgn0038296",448,180,181,278,402,151,150
"FBgn0029666",903,297,382,460,915,300,310
"FBgn0033696",47,18,18,16,33,8,21
"FBgn0063494",3544,1315,1464,2145,2664,801,1074
"FBgn0013987",3773,2035,2272,2869,4774,1783,2022
"FBgn0030262",22,6,7,28,34,9,24
"FBgn0038619",198,108,132,180,230,86,143
"FBgn0051103",0,1,0,0,0,0,0
"FBgn0034352",0,1,0,0,0,0,0
"FBgn0064227",0,0,0,0,1,1,0
"FBgn0034638",1725,825,984,2632,3288,1300,1639
"FBgn0040658",22,3,13,19,37,10,8
"FBgn0050020",2029,1050,1009,1537,2349,892,992
"FBgn0030200",1,1,1,1,0,0,0
"FBgn0024352",6856,2767,3115,4265,7742,2081,2803
"FBgn0085354",266,141,186,127,187,61,100
"FBgn0030596",35,12,12,13,55,18,20
"FBgn0083167",1072,504,560,679,1077,336,475
"FBgn0030082",878,382,414,560,990,321,372
"FBgn0054012",0,0,0,0,2,1,0
"FBgn0039280",0,0,0,0,0,0,0
"FBgn0033902",9074,5061,5686,7834,10813,4315,5812
"FBgn0052656",2,2,3,2,4,5,1
"FBgn0038609",528,311,354,521,583,239,346
"FBgn0040385",0,0,0,0,0,0,0
"FBgn0011976",0,0,0,0,0,0,0
"FBgn0038597",1134,629,658,1016,1236,497,633
"FBgn0034296",0,0,0,0,1,1,0
"FBgn0250815",1,3,3,0,0,1,2
"FBgn0011204",2001,1092,1209,1668,2652,1085,1212
"FBgn0039868",546,190,157,370,557,159,191
"FBgn0010041",183,70,97,83,161,43,66
"FBgn0040599",0,0,0,0,1,0,0
"FBgn0038276",2,0,0,0,4,0,0
"FBgn0029771",886,409,428,623,827,307,309
"FBgn0000338",3191,1508,1654,1411,3337,1392,1254
"FBgn0040524",1,1,1,0,1,1,0
"FBgn0032020",940,394,432,632,812,292,362
"FBgn0000278",61,22,28,80,85,30,37
"FBgn0015316",39,15,20,27,30,15,14
"FBgn0259192",2,1,2,3,6,2,1
"FBgn0039503",28,8,18,22,31,5,10
"FBgn0030524",17,4,5,11,22,8,4
"FBgn0003963",5329,2889,2887,2938,6076,2241,2363
"FBgn0030268",5133,3089,3350,3863,5641,2473,2372
"FBgn0038376",3276,1711,1890,2599,3563,1452,1785
"FBgn0261547",788,406,424,785,1377,572,505
"FBgn0031270",82,14,28,46,90,12,23
"FBgn0061361",0,0,0,0,0,0,0
"FBgn0052123",0,0,0,0,0,0,0
"FBgn0053844",0,0,0,0,0,0,0
"FBgn0034528",1015,266,291,454,1222,290,321
"FBgn0011963",0,0,0,0,1,0,0
"FBgn0038316",441,250,325,342,604,232,264
"FBgn0052268",24,8,8,22,24,8,10
"FBgn0036713",0,0,0,0,0,0,0
"FBgn0051729",4414,2277,2400,3958,4635,1966,2157
"FBgn0035789",9,1,2,11,92,12,5
"FBgn0038930",1,0,0,0,1,0,0
"FBgn0013300",0,0,0,0,0,0,0
"FBgn0053140",0,0,0,0,0,1,0
"FBgn0003372",6,1,0,1,2,5,3
"FBgn0037761",0,0,0,0,0,0,0
"FBgn0082180",0,0,0,0,0,0,0
"FBgn0034708",3289,1579,1643,2345,3136,1296,1411
"FBgn0004240",1,0,0,2,1,0,2
"FBgn0053303",7913,4355,4747,5949,8944,3002,4093
"FBgn0035213",1807,669,732,1317,2216,700,787
"FBgn0031904",886,358,357,527,846,285,324
"FBgn0000043",56048,31421,34344,33402,41118,16007,18360
"FBgn0036688",645,387,421,376,474,190,248
"FBgn0050115",1578,869,901,824,1679,709,653
"FBgn0000239",4136,1918,1925,3033,4238,1634,1854
"FBgn0085200",0,0,0,0,0,0,0
"FBgn0004370",3252,1632,1687,2064,3550,1535,1465
"FBgn0034169",0,0,0,0,0,0,0
"FBgn0000442",6,1,6,2,7,3,2
"FBgn0036806",683,285,332,472,792,252,309
"FBgn0037344",5838,2917,3042,3705,8170,2924,2659
"FBgn0037700",1480,622,670,769,1513,399,533
"FBgn0041171",3209,1844,1826,2949,4181,1785,1986
"FBgn0033059",684,253,340,535,821,229,334
"FBgn0259481",4275,2511,2980,3807,5926,2628,2724
"FBgn0053159",56,27,17,39,40,19,15
"FBgn0038756",1,0,0,0,0,0,0
"FBgn0027296",343,164,163,309,388,161,143
"FBgn0022097",1940,813,914,1145,1638,537,739
"FBgn0032503",0,0,0,0,0,0,0
"FBgn0005386",1331,538,533,884,1766,600,584
"FBgn0030981",0,0,0,0,0,0,0
"FBgn0082181",0,0,0,0,0,0,0
"FBgn0038196",903,276,378,545,995,259,340
"FBgn0085259",0,0,0,1,0,1,1
"FBgn0037762",0,0,0,0,0,0,0
"FBgn0243513",75,20,25,41,27,24,29
"FBgn0035234",36,23,26,29,34,18,11
"FBgn0036928",2061,823,894,1188,1857,613,926
"FBgn0031068",703,369,464,349,805,250,284
"FBgn0036979",8,4,5,7,9,1,3
"FBgn0052303",0,1,0,0,0,0,0
"FBgn0029123",4,2,1,3,5,2,2
"FBgn0003373",0,0,0,1,1,2,0
"FBgn0058470",113,18,13,45,77,24,18
"FBgn0015527",2659,1612,1759,2261,3572,1473,1638
"FBgn0261396",3600,1785,2039,2496,3566,1263,1549
"FBgn0037046",94,30,18,16,30,9,8
"FBgn0034162",18,9,19,14,18,4,13
"FBgn0036188",541,252,303,352,493,187,257
"FBgn0261456",1261,643,747,919,1332,529,563
"FBgn0033727",0,0,0,0,0,0,0
"FBgn0000147",779,394,385,456,579,213,301
"FBgn0032707",12,4,5,2,6,3,5
"FBgn0032358",165,69,71,97,204,49,89
"FBgn0037317",249,117,142,166,352,75,136
"FBgn0029925",440,183,201,277,395,133,186
"FBgn0034345",2731,983,1182,1709,2930,901,1101
"FBgn0000576",0,0,0,0,0,0,0
"FBgn0032250",420,159,156,200,427,118,145
"FBgn0033939",3,0,0,0,2,1,0
"FBgn0038972",798,300,354,387,648,220,262
"FBgn0003074",3888,2283,2323,2027,2914,1160,1342
"FBgn0032490",0,1,0,1,2,0,1
"FBgn0010097",204,110,161,91,120,45,61
"FBgn0034822",0,0,1,0,0,1,3
"FBgn0031926",0,3,0,0,1,0,0
"FBgn0020381",266,142,141,174,239,79,112
"FBgn0034283",2,0,0,0,0,0,1
"FBgn0033875",5271,1237,1441,1801,4376,1074,1179
"FBgn0032753",2,1,1,1,3,0,1
"FBgn0034723",9,3,2,6,6,3,2
"FBgn0032406",0,0,0,0,0,0,0
"FBgn0030157",3,0,2,0,1,0,0
"FBgn0052641",44,33,39,25,31,25,37
"FBgn0036837",99,54,44,46,173,49,59
"FBgn0032149",576,259,275,325,578,183,263
"FBgn0033379",1391,616,705,1122,1605,566,724
"FBgn0038073",3,0,1,3,2,0,0
"FBgn0035543",1,0,1,0,0,0,1
"FBgn0037577",1,0,0,0,0,0,0
"FBgn0082585",334,138,174,166,423,123,135
"FBgn0039561",1806,962,1067,1362,2404,927,913
"FBgn0050151",0,0,0,0,0,0,0
"FBgn0036929",1316,304,308,604,1021,281,319
"FBgn0052554",125,57,61,83,124,33,51
"FBgn0011870",0,0,0,0,0,0,0
"FBgn0053080",67,43,49,57,103,44,47
"FBgn0040648",0,0,0,0,0,0,0
"FBgn0033403",7,4,4,6,15,9,5
"FBgn0036110",46,32,45,63,91,49,69
"FBgn0260237",0,0,0,0,0,0,0
"FBgn0031150",2351,778,873,635,1042,306,338
"FBgn0035171",11,2,4,35,7,8,2
"FBgn0053964",0,0,0,0,0,0,0
"FBgn0050157",71,41,34,36,86,28,45
"FBgn0085400",11,11,7,2,4,3,2
"FBgn0035476",28,10,14,21,29,10,11
"FBgn0030374",0,0,0,0,1,0,0
"FBgn0042129",1,0,0,0,0,0,0
"FBgn0015282",2932,1679,1839,2357,3454,1203,1506
"FBgn0260428",0,0,0,0,0,0,0
"FBgn0010422",1574,697,840,958,1894,551,654
"FBgn0029603",0,1,0,2,2,0,0
"FBgn0259170",1196,488,477,623,1266,495,442
"FBgn0027951",3288,1707,1739,2369,4288,1666,1650
"FBgn0039928",3811,804,725,1908,2126,687,626
"FBgn0032262",35,12,16,16,34,12,13
"FBgn0051036",9,1,5,2,8,3,7
"FBgn0001281",2,0,0,1,1,0,0
"FBgn0002773",35,15,26,42,91,32,59
"FBgn0031610",152,55,62,99,132,53,53
"FBgn0036552",7,7,7,16,15,4,5
"FBgn0004584",3530,1629,1748,1522,3262,1049,1262
"FBgn0036757",0,0,0,0,0,0,0
